group,system,seed,source_run,result_path,n_poses,vina_top_affinity_kcal_mol,vina_top_rmsd_angstrom,vina_rank1_cnn_score,vina_rank1_cnn_affinity,cnn_selected_vina_rank,cnn_selected_cnn_score,cnn_selected_cnn_affinity,cnn_selected_vina_affinity_kcal_mol,cnn_selected_rmsd_angstrom,affinity_selected_vina_rank,affinity_selected_cnn_affinity,affinity_selected_rmsd_angstrom,cnn_vina_rank1_agree,spearman_vina_quality_vs_cnn_score,spearman_vina_quality_vs_cnn_affinity
CHRFAM7A at B face,CHRNA7_encenicline,1103,hybrid_B_face_seed1103_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_B_face_seed1103_ex32/result.json,20,-6.404,8.3041,0.0669022352,4.1177425385,16,0.3581523001,4.5503234863,-5.038,9.0408,9,5.0432357788,8.5684,False,-0.10075187969924812,0.07969924812030076
CHRFAM7A at B face,CHRNA7_encenicline,20260825,hybrid_B_face_seed20260825_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_B_face_seed20260825_ex32/result.json,20,-6.242,8.6502,0.1591698378,4.661210537,18,0.3428122997,4.5436644554,-5.041,9.0478,10,5.042075634,8.5633,False,-0.022556390977443608,-0.15789473684210525
CHRFAM7A at B face,CHRNA7_encenicline,2207,hybrid_B_face_seed2207_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_B_face_seed2207_ex32/result.json,20,-6.217,8.6356,0.1398811936,4.5753617287,17,0.3565470874,4.5413894653,-5.077,9.0404,10,5.0426716805,8.5694,False,-0.3097744360902256,-0.17443609022556392
CHRFAM7A at B face,CHRNA7_encenicline,3301,hybrid_B_face_seed3301_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_B_face_seed3301_ex32/result.json,19,-6.927,8.3457,0.0673885494,4.0121312141,12,0.2566125393,5.0441021919,-5.489,8.561,12,5.0441021919,8.561,False,-0.35964912280701755,-0.256140350877193
CHRFAM7A at B face,CHRNA7_encenicline,4409,hybrid_B_face_seed4409_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_B_face_seed4409_ex32/result.json,19,-6.927,8.3847,0.0657066926,4.0312728882,18,0.4086878598,5.0587368011,-5.105,8.4148,18,5.0587368011,8.4148,False,-0.4280701754385965,-0.2736842105263158
CHRFAM7A at B face,CHRNA7_encenicline,5519,hybrid_B_face_seed5519_ex32,outputs/docking_campaign/systems/CHRNA7_encenicline/gnina_rescoring/hybrid_B_face_seed5519_ex32/result.json,19,-6.879,8.382,0.0652563125,4.0370144844,16,0.3654287457,4.5545010567,-5.229,9.0351,10,5.0428543091,8.5645,False,-0.2736842105263158,-0.12105263157894737
FYN canonical,FYN_saracatinib,20260824,vina_initial_seed20260824_ex16,outputs/docking_campaign/systems/FYN_saracatinib/gnina_rescoring/vina_initial_seed20260824_ex16/result.json,10,-9.155,1.8531,0.6180745363,7.5884575844,10,0.7497524023,7.9653759003,-8.243,3.207,10,7.9653759003,3.207,False,0.3575757575757576,0.3696969696969697
FYN canonical,FYN_saracatinib,1103,vina_seed1103_ex32,outputs/docking_campaign/systems/FYN_saracatinib/gnina_rescoring/vina_seed1103_ex32/result.json,10,-9.15,1.919,0.6020350456,7.6098942757,7,0.8488178253,7.8106179237,-8.737,2.968,6,7.8199706078,4.2343,False,0.24848484848484848,0.23636363636363636
FYN canonical,FYN_saracatinib,2207,vina_seed2207_ex32,outputs/docking_campaign/systems/FYN_saracatinib/gnina_rescoring/vina_seed2207_ex32/result.json,10,-9.142,1.7568,0.6420514584,7.6017417908,8,0.7945404649,7.9286923409,-8.766,2.9368,8,7.9286923409,2.9368,False,0.40606060606060607,0.4666666666666667
FYN canonical,FYN_saracatinib,3301,vina_seed3301_ex32,outputs/docking_campaign/systems/FYN_saracatinib/gnina_rescoring/vina_seed3301_ex32/result.json,9,-9.155,1.9087,0.5767170191,7.5661349297,8,0.8754591346,7.8391747475,-8.757,3.1039,3,7.8560156822,4.4965,False,0.23333333333333334,0.36666666666666664
FYN canonical,FYN_saracatinib,4409,vina_seed4409_ex32,outputs/docking_campaign/systems/FYN_saracatinib/gnina_rescoring/vina_seed4409_ex32/result.json,10,-9.182,1.7535,0.6300535202,7.568423748,8,0.908084631,8.047077179,-8.66,2.4169,8,8.047077179,2.4169,False,0.4303030303030303,0.4909090909090909
FYN canonical,FYN_saracatinib,5519,vina_seed5519_ex64,outputs/docking_campaign/systems/FYN_saracatinib/gnina_rescoring/vina_seed5519_ex64/result.json,9,-9.202,1.9413,0.5909659266,7.574693203,8,0.910428226,8.0257234573,-8.618,2.5804,8,8.0257234573,2.5804,False,-0.11666666666666667,0.11666666666666667
FYN canonical,FYN_saracatinib,6619,vina_seed6619_ex64,outputs/docking_campaign/systems/FYN_saracatinib/gnina_rescoring/vina_seed6619_ex64/result.json,10,-9.186,1.8964,0.5855548978,7.5377421379,8,0.8563992381,7.7763476372,-8.761,2.99,10,7.9849677086,2.9832,False,-0.2727272727272727,-0.2606060606060606
FYN canonical,FYN_saracatinib,7723,vina_seed7723_ex64,outputs/docking_campaign/systems/FYN_saracatinib/gnina_rescoring/vina_seed7723_ex64/result.json,10,-9.203,1.8879,0.5832653046,7.528649807,9,0.8466807604,7.8505992889,-8.721,2.8147,7,7.8986034393,4.3406,False,0.01818181818181818,0.06666666666666667
FYN canonical,FYN_saracatinib,8831,vina_seed8831_ex64,outputs/docking_campaign/systems/FYN_saracatinib/gnina_rescoring/vina_seed8831_ex64/result.json,10,-9.2,1.9778,0.5607129931,7.5571227074,7,0.8530179262,7.7748360634,-8.744,2.9365,5,7.7959694862,4.6186,False,0.2727272727272727,0.3939393939393939
