group,system,seed,source_run,result_path,pose_rank,vina_affinity_kcal_mol,vina_rmsd_to_crystal_angstrom,gnina_score_only_vina_kcal_mol,cnn_score,cnn_affinity,cnn_affinity_variance,cnn_vs
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,7,-7.254,7.1245,-7.07017,0.107911624,4.4681096077,1.1400214434,0.4821609557
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,8,-7.244,7.5701,-7.67303,0.0459796265,4.6806969643,0.4909348488,0.2152166963
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,9,-7.237,7.0237,-7.79523,0.136063233,4.7149858475,0.9322810769,0.6415362358
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,10,-7.231,6.978,-7.131,0.1230736077,4.9844269753,0.3924176693,0.6134514213
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,11,-7.172,6.8479,-7.62971,0.083622627,4.3700389862,1.0668963194,0.36543414
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,12,-7.156,7.8005,-7.60625,0.0324880965,3.5314090252,1.9557051659,0.1147287562
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,13,-7.065,8.0061,-6.99244,0.1545223296,4.7354879379,0.6564059258,0.731738627
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,14,-6.951,7.1919,-6.70931,0.1919059008,4.8639907837,0.7541919351,0.9334285259
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,15,-6.946,7.4378,-7.53815,0.2684009671,5.3707008362,0.2388764769,1.4415012598
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,16,-6.871,7.2239,-6.63359,0.0426371135,4.1743092537,0.9792963862,0.1779804975
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,17,-6.863,6.7955,-6.73237,0.1939959228,5.3029742241,0.3862059116,1.0287554264
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,18,-6.854,7.2137,-7.28427,0.1049600467,4.8946270943,0.3709288538,0.5137403011
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,19,-6.829,6.5675,-6.86447,0.2476684451,5.8208556175,0.1387004256,1.4416422844
BACE1-457,BACE1_verubecestat,2207,alternate_457_seed2207_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed2207_ex32/result.json,20,-6.801,8.4542,-6.64013,0.1214147434,4.3098292351,0.94811517,0.5232768059
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,1,-8.297,7.0038,-8.2998,0.0396491028,4.0954470634,1.3979920149,0.1623807997
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,2,-8.024,7.2957,-7.85879,0.0449772812,4.4680042267,0.8282637596,0.2009586841
BACE1-457,BACE1_verubecestat,3301,alternate_457_seed3301_ex32,outputs/docking_campaign/systems/BACE1_verubecestat/gnina_rescoring/alternate_457_seed3301_ex32/result.json,3,-7.988,6.505,-7.87611,0.1447360814,4.440887928,1.1633244753,0.6427567005
