"gene_id","cell_type","log2FC","lfcSE","pval","padj","baseMean"
"ACAA1","Excitatory_neuron",-1.00295724363337,0.994039541294787,0.312988458621944,0.880911583777939,16.5943047236454
"ACACA","Excitatory_neuron",0.465907606729884,0.852993146371184,0.584926250134038,0.955333753722435,8.59970133775352
"ACAD11","Excitatory_neuron",1.44291835321569,0.835689284349737,0.0842358195878173,0.685810737394761,11.2361778564964
"ACAD8","Excitatory_neuron",-0.785546948124307,0.77931617387884,0.313456775461486,0.880911583777939,18.0847939747147
"ACAD9","Excitatory_neuron",0.268685736825121,0.901930863068153,0.765779037141931,0.982609632568385,17.37847806644
"ACADM","Excitatory_neuron",-1.03652017136609,0.832270985995723,0.21298038949021,0.819717386007544,10.4860942203037
"ACADS","Excitatory_neuron",2.67686669160612,1.53259341438603,0.0807023262727837,0.680743357814493,0.913626371178119
"ACADSB","Excitatory_neuron",0.40633276670611,0.847107360702391,0.63146140908517,0.960105128899576,4.87992885046082
"ACADVL","Excitatory_neuron",1.4531718271828,0.815283796244815,0.074682029006011,0.667042618618018,14.2421086323792
"ACAP1","Excitatory_neuron",2.81729450367228,1.27824947815756,0.0275225475828302,0.544393033807476,3.26159159988337
"ACAP2","Excitatory_neuron",-0.706367887135514,0.812858487922337,0.384851261565908,0.910552484541827,76.4781224299953
"ACAP3","Excitatory_neuron",-0.101747300078586,0.956584106567907,0.915292569388334,0.997077953635712,29.4313485133473
"ACAT1","Excitatory_neuron",0.199890165785226,0.99372373623272,0.840579212237516,0.9907095392641,2.79098216309189
"ACAT2","Excitatory_neuron",-0.143697363226081,1.11145573060534,0.897130140294272,0.995790073272532,2.16980861970519
"ACBD3","Excitatory_neuron",-0.679284742178455,0.971282529255856,0.484321551786926,0.938248596179526,6.39227219468301
"ACBD6","Excitatory_neuron",-1.25442477472986,1.10824490544095,0.257675580943923,0.847896866407335,5.78621411910415
"ACD","Excitatory_neuron",-1.36530785037277,0.966835676434249,0.15790858516909,0.765350436527286,3.99931986548104
"ACER3","Excitatory_neuron",-2.66424348107294,1.21709014052481,0.0285948596078578,0.54539969870955,4.27871032027074
"ACHE","Excitatory_neuron",0.436603578473669,1.20032969342684,0.716054873588491,0.974331313345393,1.25834160165296
"ACIN1","Excitatory_neuron",-0.036856086792453,0.876910461589124,0.966475200791875,0.998479905698033,7.59479199063572
"ACO1","Excitatory_neuron",0.315840234526065,0.830651030823218,0.70377308959526,0.97298008742105,4.45443679447987
"ACO2","Excitatory_neuron",-1.21420891379458,0.895820767757772,0.175285370418888,0.787681869851664,80.8226351744912
"ACOT11","Excitatory_neuron",0.0417092783659243,0.725648112024708,0.954163907865951,0.998255170910791,26.492569341773
"ACOT13","Excitatory_neuron",-2.28255302137132,1.27899385779076,0.0743185330924303,0.665753997934549,1.07324626841776
"ACOT7","Excitatory_neuron",0.535030922335258,0.843077766908625,0.525678671999749,0.947558059457131,12.0062100575585
"ACOT8","Excitatory_neuron",-1.18527523038984,0.981446889691316,0.227169805146079,0.828536535649284,4.06313593676911
"ACOT9","Excitatory_neuron",-1.613885863039,1.18643994299559,0.173742578033799,0.78674099318144,3.25359715454026
"ACOX1","Excitatory_neuron",-1.01065588635507,0.891526235215427,0.256952136889232,0.847432514919105,10.8168276366131
"ACOX3","Excitatory_neuron",0.0859675946065896,0.833601065388407,0.917861398005666,0.997077953635712,2.75879990290524
"ACP1","Excitatory_neuron",0.497237500509948,0.845319873983358,0.556381900219791,0.951976024523361,6.30011308115376
