"donor","transcript_id","cell_type","gene_id","is_significant_hit","condition","n_cells_donor","raw_count","gene_total_count","psi","padj_gene","padj_tx","delta_psi","n_cells_expressing_gene"
"SMC041","DDX5-238","Astrocyte","DDX5",FALSE,"AD",22,0,0,NA,NA,NA,NA,0
"SMC043","DDX5-238","Astrocyte","DDX5",FALSE,"AD",653,7,88,0.0795454545454545,NA,NA,NA,21
"SMC049","DDX5-238","Astrocyte","DDX5",FALSE,"AD",304,1,117,0.00854700854700855,NA,NA,NA,31
"PO13","DDX5-238","Astrocyte","DDX5",FALSE,"Control",55,0,9,0,NA,NA,NA,4
"PO15","DDX5-238","Astrocyte","DDX5",FALSE,"Control",150,6,180,0.0333333333333333,NA,NA,NA,27
"PO20","DDX5-238","Astrocyte","DDX5",FALSE,"Control",131,0,25,0,NA,NA,NA,7
"PO23","DDX5-238","Astrocyte","DDX5",FALSE,"Control",116,0,10,0,NA,NA,NA,7
"SMC027","DDX5-238","Astrocyte","DDX5",FALSE,"Control",445,1,690,0.00144927536231884,NA,NA,NA,74
"SMC030","DDX5-238","Astrocyte","DDX5",FALSE,"Control",245,0,269,0,NA,NA,NA,48
"SMC033","DDX5-238","Astrocyte","DDX5",FALSE,"Control",524,0,50,0,NA,NA,NA,29
"SMC052","DDX5-238","Astrocyte","DDX5",FALSE,"Control",130,0,6,0,NA,NA,NA,1
"PO05","DDX5-239","Astrocyte","DDX5",FALSE,"AD",294,4,104,0.0384615384615385,NA,NA,NA,16
"PO11","DDX5-239","Astrocyte","DDX5",FALSE,"AD",183,6,56,0.107142857142857,NA,NA,NA,18
"PO28","DDX5-239","Astrocyte","DDX5",FALSE,"AD",152,1,14,0.0714285714285714,NA,NA,NA,8
"PO41","DDX5-239","Astrocyte","DDX5",FALSE,"AD",294,14,197,0.0710659898477157,NA,NA,NA,48
"PO42","DDX5-239","Astrocyte","DDX5",FALSE,"AD",688,4,174,0.0229885057471264,NA,NA,NA,26
"SMC029","DDX5-239","Astrocyte","DDX5",FALSE,"AD",192,0,309,0,NA,NA,NA,27
"SMC032","DDX5-239","Astrocyte","DDX5",FALSE,"AD",64,0,236,0,NA,NA,NA,12
"SMC036","DDX5-239","Astrocyte","DDX5",FALSE,"AD",78,2,5,0.4,NA,NA,NA,4
"SMC038","DDX5-239","Astrocyte","DDX5",FALSE,"AD",244,0,57,0,NA,NA,NA,9
"SMC039","DDX5-239","Astrocyte","DDX5",FALSE,"AD",158,4,8,0.5,NA,NA,NA,5
"SMC041","DDX5-239","Astrocyte","DDX5",FALSE,"AD",22,0,0,NA,NA,NA,NA,0
"SMC043","DDX5-239","Astrocyte","DDX5",FALSE,"AD",653,16,88,0.181818181818182,NA,NA,NA,21
"SMC049","DDX5-239","Astrocyte","DDX5",FALSE,"AD",304,1,117,0.00854700854700855,NA,NA,NA,31
"PO13","DDX5-239","Astrocyte","DDX5",FALSE,"Control",55,0,9,0,NA,NA,NA,4
"PO15","DDX5-239","Astrocyte","DDX5",FALSE,"Control",150,2,180,0.0111111111111111,NA,NA,NA,27
"PO20","DDX5-239","Astrocyte","DDX5",FALSE,"Control",131,1,25,0.04,NA,NA,NA,7
"PO23","DDX5-239","Astrocyte","DDX5",FALSE,"Control",116,0,10,0,NA,NA,NA,7
"SMC027","DDX5-239","Astrocyte","DDX5",FALSE,"Control",445,1,690,0.00144927536231884,NA,NA,NA,74
"SMC030","DDX5-239","Astrocyte","DDX5",FALSE,"Control",245,0,269,0,NA,NA,NA,48
"SMC033","DDX5-239","Astrocyte","DDX5",FALSE,"Control",524,0,50,0,NA,NA,NA,29
