cell_type,gene_id,donor,n_cells_expressing_gene,n_cells_total_donor
Excitatory_neuron,RGS7,PO23,173,1605
Excitatory_neuron,RGS7,PO28,67,1851
Excitatory_neuron,RGS7,PO41,149,973
Excitatory_neuron,RGS7,PO42,26,1303
Excitatory_neuron,RGS7,SMC027,9,129
Excitatory_neuron,RGS7,SMC029,6,150
Excitatory_neuron,RGS7,SMC030,295,915
Excitatory_neuron,RGS7,SMC031,5,389
Excitatory_neuron,RGS7,SMC032,88,578
Excitatory_neuron,RGS7,SMC033,44,2797
Excitatory_neuron,RGS7,SMC035,40,1589
Excitatory_neuron,RGS7,SMC036,4,206
Excitatory_neuron,RGS7,SMC037,122,1120
Excitatory_neuron,RGS7,SMC038,135,1640
Excitatory_neuron,RGS7,SMC039,12,413
Excitatory_neuron,RGS7,SMC041,32,1746
Excitatory_neuron,RGS7,SMC043,0,105
Excitatory_neuron,RGS7,SMC049,561,4070
Excitatory_neuron,RGS7,SMC052,524,4785
Excitatory_neuron,RGS7,SMC053,465,3231
Excitatory_neuron,RHOT1,PO05,15,1197
Excitatory_neuron,RHOT1,PO11,19,1165
Excitatory_neuron,RHOT1,PO13,3,777
Excitatory_neuron,RHOT1,PO15,61,744
Excitatory_neuron,RHOT1,PO20,5,1454
Excitatory_neuron,RHOT1,PO23,40,1605
Excitatory_neuron,RHOT1,PO28,36,1851
Excitatory_neuron,RHOT1,PO41,23,973
Excitatory_neuron,RHOT1,PO42,13,1303
Excitatory_neuron,RHOT1,SMC027,2,129
Excitatory_neuron,RHOT1,SMC029,1,150
Excitatory_neuron,RHOT1,SMC030,102,915
Excitatory_neuron,RHOT1,SMC031,2,389
Excitatory_neuron,RHOT1,SMC032,30,578
Excitatory_neuron,RHOT1,SMC033,64,2797
Excitatory_neuron,RHOT1,SMC035,26,1589
Excitatory_neuron,RHOT1,SMC036,1,206
Excitatory_neuron,RHOT1,SMC037,19,1120
Excitatory_neuron,RHOT1,SMC038,34,1640
Excitatory_neuron,RHOT1,SMC039,0,413
Excitatory_neuron,RHOT1,SMC041,2,1746
Excitatory_neuron,RHOT1,SMC043,0,105
Excitatory_neuron,RHOT1,SMC049,115,4070
Excitatory_neuron,RHOT1,SMC052,20,4785
Excitatory_neuron,RHOT1,SMC053,46,3231
Inhibitory_neuron,DDX17,PO05,41,730
Inhibitory_neuron,DDX17,PO11,73,647
Inhibitory_neuron,DDX17,PO13,12,190
Inhibitory_neuron,DDX17,PO15,53,443
Inhibitory_neuron,DDX17,PO20,10,284
Inhibitory_neuron,DDX17,PO23,44,963
Inhibitory_neuron,DDX17,PO28,28,558
Inhibitory_neuron,DDX17,PO41,59,497
Inhibitory_neuron,DDX17,PO42,29,744
Inhibitory_neuron,DDX17,SMC027,22,304
Inhibitory_neuron,DDX17,SMC029,19,152
Inhibitory_neuron,DDX17,SMC030,109,1937
Inhibitory_neuron,DDX17,SMC031,35,432
Inhibitory_neuron,DDX17,SMC032,73,1382
Inhibitory_neuron,DDX17,SMC033,48,2436
Inhibitory_neuron,DDX17,SMC035,33,1475
Inhibitory_neuron,DDX17,SMC036,3,135
Inhibitory_neuron,DDX17,SMC037,83,1201
Inhibitory_neuron,DDX17,SMC038,180,1549
Inhibitory_neuron,DDX17,SMC039,22,404
Inhibitory_neuron,DDX17,SMC041,47,1416
Inhibitory_neuron,DDX17,SMC043,4,141
Inhibitory_neuron,DDX17,SMC049,148,1705
Inhibitory_neuron,DDX17,SMC052,109,2673
Inhibitory_neuron,DDX17,SMC053,75,1015
Inhibitory_neuron,GCC2,PO05,31,730
Inhibitory_neuron,GCC2,PO11,39,647
Inhibitory_neuron,GCC2,PO13,25,190
Inhibitory_neuron,GCC2,PO15,32,443
Inhibitory_neuron,GCC2,PO20,14,284
Inhibitory_neuron,GCC2,PO23,29,963
Inhibitory_neuron,GCC2,PO28,31,558
Inhibitory_neuron,GCC2,PO41,43,497
Inhibitory_neuron,GCC2,PO42,31,744
Inhibitory_neuron,GCC2,SMC027,5,304
Inhibitory_neuron,GCC2,SMC029,6,152
Inhibitory_neuron,GCC2,SMC030,134,1937
Inhibitory_neuron,GCC2,SMC031,9,432
Inhibitory_neuron,GCC2,SMC032,56,1382
Inhibitory_neuron,GCC2,SMC033,19,2436
Inhibitory_neuron,GCC2,SMC035,12,1475
Inhibitory_neuron,GCC2,SMC036,9,135
Inhibitory_neuron,GCC2,SMC037,60,1201
Inhibitory_neuron,GCC2,SMC038,19,1549
Inhibitory_neuron,GCC2,SMC039,2,404
Inhibitory_neuron,GCC2,SMC041,23,1416
Inhibitory_neuron,GCC2,SMC043,4,141
Inhibitory_neuron,GCC2,SMC049,15,1705
Inhibitory_neuron,GCC2,SMC052,17,2673
Inhibitory_neuron,GCC2,SMC053,12,1015
