gene_id,cell_type,log2FC,pval,padj,score
PCDHGA5,Vascular_cell,1.6307197,0.4468728207108308,0.9849978674961947,0.76063883
CCDC125,Vascular_cell,1.7298849,0.4468728207108308,0.9849978674961947,0.76063883
DDX5,Vascular_cell,0.14046931,0.4468728207108308,0.9849978674961947,0.76063883
PLAT,Vascular_cell,1.0489432,0.4468728207108308,0.9849978674961947,0.76063883
COPG2,Vascular_cell,0.8462177,0.47252232689305407,0.9849978674961947,0.7183811
ENSG00000253853,Vascular_cell,1.7048166,0.47252232689305407,0.9849978674961947,0.7183811
MBD3,Vascular_cell,2.3494892,0.47252232689305407,0.9849978674961947,0.7183811
RAMACL,Vascular_cell,1.8154831,0.47252232689305407,0.9849978674961947,0.7183811
TYW3,Vascular_cell,0.6611437,0.47252232689305407,0.9849978674961947,0.7183811
ACSS3,Vascular_cell,0.59194976,0.47252232689305407,0.9849978674961947,0.7183811
TMSB10,Vascular_cell,1.6306771,0.47252232689305407,0.9849978674961947,0.7183811
IFIT5,Vascular_cell,1.3891559,0.47252232689305407,0.9849978674961947,0.7183811
FAM177A1,Vascular_cell,1.6389935,0.47252232689305407,0.9849978674961947,0.7183811
GPRC5A,Vascular_cell,1.7121329,0.47252232689305407,0.9849978674961947,0.7183811
ENSG00000225885,Vascular_cell,0.93612754,0.47252232689305407,0.9849978674961947,0.7183811
SRP72,Vascular_cell,0.5977979,0.47252232689305407,0.9849978674961947,0.7183811
ENSG00000290823,Vascular_cell,1.7355016,0.47252232689305407,0.9849978674961947,0.7183811
ENSG00000176868,Vascular_cell,1.5304781,0.47252232689305407,0.9849978674961947,0.7183811
DANT1,Vascular_cell,1.7682095,0.47252232689305407,0.9849978674961947,0.7183811
KLF2,Vascular_cell,1.4183477,0.47252232689305407,0.9849978674961947,0.7183811
TBC1D19,Vascular_cell,1.1162118,0.47252232689305407,0.9849978674961947,0.7183811
KCNH1,Vascular_cell,0.94854474,0.47252232689305407,0.9849978674961947,0.7183811
MNAT1,Vascular_cell,0.97475696,0.47252232689305407,0.9849978674961947,0.7183811
CORO7,Vascular_cell,1.2812229,0.47252232689305407,0.9849978674961947,0.7183811
DNMT1,Vascular_cell,0.85914737,0.47252232689305407,0.9849978674961947,0.7183811
DHX32,Vascular_cell,1.6217253,0.47252232689305407,0.9849978674961947,0.7183811
SYMPK,Vascular_cell,0.94201064,0.47252232689305407,0.9849978674961947,0.7183811
ROBO4,Vascular_cell,2.0912893,0.47252232689305407,0.9849978674961947,0.7183811
MED6,Vascular_cell,0.79534256,0.47252232689305407,0.9849978674961947,0.7183811
DIS3L,Vascular_cell,1.4710287,0.47252232689305407,0.9849978674961947,0.7183811
LY6E,Vascular_cell,2.2220423,0.47252232689305407,0.9849978674961947,0.7183811
VPS28,Vascular_cell,1.3554615,0.47252232689305407,0.9849978674961947,0.7183811
IL13RA1,Vascular_cell,1.0909777,0.47252232689305407,0.9849978674961947,0.7183811
WDTC1,Vascular_cell,1.1881678,0.47252232689305407,0.9849978674961947,0.7183811
DELE1,Vascular_cell,0.9250346,0.47252232689305407,0.9849978674961947,0.7183811
G3BP1,Vascular_cell,0.6475,0.47252232689305407,0.9849978674961947,0.7183811
LMF2,Vascular_cell,2.0698295,0.47252232689305407,0.9849978674961947,0.7183811
RBM15B,Vascular_cell,1.6585058,0.47252232689305407,0.9849978674961947,0.7183811
HLA-A,Vascular_cell,1.0047617,0.47252232689305407,0.9849978674961947,0.7183811
LPIN3,Vascular_cell,1.7421001,0.47252232689305407,0.9849978674961947,0.7183811
THBS2,Vascular_cell,0.38257807,0.47252232689305407,0.9849978674961947,0.7183811
GMPPB,Vascular_cell,1.5238506,0.47252232689305407,0.9849978674961947,0.7183811
HIKESHI,Vascular_cell,1.7199813,0.47252232689305407,0.9849978674961947,0.7183811
CGRRF1,Vascular_cell,2.0891004,0.47252232689305407,0.9849978674961947,0.7183811
FGL2,Vascular_cell,1.5135195,0.47252232689305407,0.9849978674961947,0.7183811
PTPN22,Vascular_cell,1.6113023,0.47252232689305407,0.9849978674961947,0.7183811
IQCE,Vascular_cell,1.871266,0.47252232689305407,0.9849978674961947,0.7183811
CCT3,Vascular_cell,0.57647,0.47252232689305407,0.9849978674961947,0.7183811
SGO2,Vascular_cell,2.0120597,0.47252232689305407,0.9849978674961947,0.7183811
PDZD8,Vascular_cell,0.54338264,0.47252232689305407,0.9849978674961947,0.7183811
TTC7B,Vascular_cell,1.6946602,0.47252232689305407,0.9849978674961947,0.7183811
PTP4A3,Vascular_cell,1.4167867,0.47252232689305407,0.9849978674961947,0.7183811
ZNF532,Vascular_cell,0.6095375,0.47252232689305407,0.9849978674961947,0.7183811
PCDH11X,Vascular_cell,0.9242653,0.47252232689305407,0.9849978674961947,0.7183811
BTBD9,Vascular_cell,0.80178225,0.47252232689305407,0.9849978674961947,0.7183811
TFG,Vascular_cell,0.57057583,0.47252232689305407,0.9849978674961947,0.7183811
CCT2,Vascular_cell,0.8646797,0.47252232689305407,0.9849978674961947,0.7183811
ELAC2,Vascular_cell,0.21962819,0.49896229860376107,0.9849978674961947,0.6761234
PKN1,Vascular_cell,0.66110265,0.49896229860376107,0.9849978674961947,0.6761234
NCKAP1L,Vascular_cell,1.7723567,0.49896229860376107,0.9849978674961947,0.6761234
POM121L9P,Vascular_cell,1.4253985,0.49896229860376107,0.9849978674961947,0.6761234
RASSF8,Vascular_cell,1.1707579,0.49896229860376107,0.9849978674961947,0.6761234
MARCHF7,Vascular_cell,-0.22588634,0.49896229860376107,0.9849978674961947,0.6761234
IFI27,Vascular_cell,1.16323,0.49896229860376107,0.9849978674961947,0.6761234
ACTG1,Vascular_cell,0.7648264,0.49896229860376107,0.9849978674961947,0.6761234
FRMD4B,Vascular_cell,1.2141148,0.49896229860376107,0.9849978674961947,0.6761234
CNTN2,Vascular_cell,1.2221125,0.49896229860376107,0.9849978674961947,0.6761234
