"donor","transcript_id","cell_type","gene_id","is_significant_hit","condition","n_cells_donor","raw_count","gene_total_count","psi","padj_gene","padj_tx","delta_psi","n_cells_expressing_gene"
"PO11","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",1165,2,47,0.0425531914893617,NA,NA,NA,37
"PO28","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",1851,18,302,0.0596026490066225,NA,NA,NA,193
"PO41","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",973,10,168,0.0595238095238095,NA,NA,NA,119
"PO42","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",1303,3,37,0.0810810810810811,NA,NA,NA,30
"SMC029","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",150,0,16,0,NA,NA,NA,8
"SMC032","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",578,0,88,0,NA,NA,NA,64
"SMC036","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",206,0,42,0,NA,NA,NA,9
"SMC038","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",1640,8,1250,0.0064,NA,NA,NA,313
"SMC039","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",413,1,35,0.0285714285714286,NA,NA,NA,10
"SMC041","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",1746,3,322,0.0093167701863354,NA,NA,NA,66
"SMC043","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",105,0,2,0,NA,NA,NA,2
"SMC049","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"AD",4070,1,4021,0.00024869435463815,NA,NA,NA,1264
"PO13","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"Control",777,3,14,0.214285714285714,NA,NA,NA,12
"PO15","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"Control",744,0,146,0,NA,NA,NA,105
"PO20","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"Control",1454,4,44,0.0909090909090909,NA,NA,NA,33
"PO23","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"Control",1605,22,538,0.0408921933085502,NA,NA,NA,318
"SMC027","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"Control",129,0,115,0,NA,NA,NA,31
"SMC030","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"Control",915,2,153,0.0130718954248366,NA,NA,NA,122
"SMC033","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"Control",2797,4,509,0.00785854616895874,NA,NA,NA,262
"SMC052","CAMK2B-209","Excitatory_neuron","CAMK2B",FALSE,"Control",4785,1,886,0.00112866817155756,NA,NA,NA,346
"PO05","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",1197,37,47,0.787234042553192,0.0332671598587754,0,-0.0843616936639449,42
"PO11","CAMK2B-216","Excitatory_neuron","CAMK2B",TRUE,"AD",1165,24,47,0.51063829787234,0.0332671598587754,0,-0.0843616936639449,37
