"gene_id","cell_type","log2FC","lfcSE","pval","padj","baseMean"
"CACNA1G","Excitatory_neuron",0.327213074475669,0.497557757329284,0.510770530282574,0.999784705755525,63.6417862874515
"DLX6","Excitatory_neuron",2.13225858563476,2.48806213476675,0.391447253324681,0.999784705755525,0.358312673727462
"MAP3K9","Excitatory_neuron",-0.128759622419513,0.451522271294544,0.77551557204647,0.999784705755525,107.248136606178
"RALA","Excitatory_neuron",-0.385857721893412,0.582799105948097,0.507922053091634,0.999784705755525,31.6841468523055
"BAIAP2L1","Excitatory_neuron",1.58887312617715,0.784453690680655,0.042820994823254,0.835705244373135,5.17507401300398
"KDM7A","Excitatory_neuron",0.442478446842465,0.722257444467146,0.540119306008688,0.999784705755525,57.7695716130935
"ETV1","Excitatory_neuron",-1.05829035731185,0.504372506100131,0.0358846867348093,0.790942079998734,17.0597106889832
"AGK","Excitatory_neuron",0.0118541760455258,0.328562204861288,0.971219414911481,0.999784705755525,192.79251651655
"ALDH3B1","Excitatory_neuron",0.563504085733293,1.46550587971151,0.700599261964466,0.999784705755525,1.01194706932645
"TTC22","Excitatory_neuron",-1.671429024466,1.87545938052878,0.372816271832146,0.999784705755525,1.09908006184734
"PHTF2","Excitatory_neuron",0.440477211242459,0.378676774438876,0.244747951770025,0.999784705755525,204.800637268118
"FARP2","Excitatory_neuron",-0.293438150741439,0.430806241573444,0.495784689869843,0.999784705755525,133.403211987645
"USH1C","Excitatory_neuron",-0.319052456960101,0.774973911086151,0.680563394497676,0.999784705755525,64.7609917887986
"GGCT","Excitatory_neuron",-1.04872608653663,0.349372538211713,0.00268439919581842,0.472273284267035,44.468461692749
"DBF4","Excitatory_neuron",-0.608486919968948,0.512249263438917,0.234883563396575,0.999784705755525,32.9740622363144
"IFRD1","Excitatory_neuron",-0.281639534111915,0.516949682448082,0.585883963944999,0.999784705755525,183.301464563481
"COX10","Excitatory_neuron",-0.54996969720467,0.560795128092978,0.32674253780161,0.999784705755525,59.2742147504275
"GTF2IRD1","Excitatory_neuron",0.67056751373039,0.455961284156949,0.141381016906358,0.972012730319659,44.0339371796453
"PAF1","Excitatory_neuron",-0.195254359445056,0.696399184241765,0.779188231043921,0.999784705755525,35.6863410559408
"VPS41","Excitatory_neuron",-0.271951281096387,0.50455685717515,0.589893507608364,0.999784705755525,225.739997476252
"ARHGAP44","Excitatory_neuron",-0.213017220907633,0.356402101382024,0.550048205553057,0.999784705755525,121.579622653302
"ELAC2","Excitatory_neuron",-0.127195560740413,0.558789632559449,0.819936293273478,0.999784705755525,90.3422072650504
"SCIN","Excitatory_neuron",1.49882222891756,1.1276211928386,0.183785464353234,0.999784705755525,12.8050489453736
"ARSD","Excitatory_neuron",1.37970731745329,0.859977178935895,0.108636174939058,0.950407665079283,3.29539707818448
"PNPLA4","Excitatory_neuron",-0.34270583748051,0.589783669347444,0.561193001626886,0.999784705755525,10.9918921908332
"MYH13","Excitatory_neuron",-1.45871582494109,1.83491680677543,0.426627145521066,0.999784705755525,0.749453671616391
"ADIPOR2","Excitatory_neuron",-0.42290025536686,0.547838636162601,0.440148128426026,0.999784705755525,47.6299920697045
"CDKL3","Excitatory_neuron",-0.945746282694206,0.521621261357556,0.0698179442490824,0.898437763778243,17.8659049733088
"UPP2","Excitatory_neuron",-0.196464439957984,0.435972269143826,0.652252510367828,0.999784705755525,46.4840899829533
"MARK4","Excitatory_neuron",0.208668049352633,0.488849392509678,0.669484583123472,0.999784705755525,79.606219469548
"PROM1","Excitatory_neuron",2.36979542671265,1.41050879595361,0.0929379162631136,0.932239319945959,3.90149411423379
"CCDC124","Excitatory_neuron",0.284140985343124,0.649210874149195,0.661624556973497,0.999784705755525,18.4368936783231
"CEACAM21","Excitatory_neuron",6.08700577519818,3.55995971953561,0.0872931649813398,0.927166427046865,3.35716539604953
"PAFAH1B1","Excitatory_neuron",0.0260080803217369,0.451505618345747,0.954064856128193,0.999784705755525,205.876167925605
"NOS2","Excitatory_neuron",-0.469459259928838,0.506860987996794,0.354337323881892,0.999784705755525,38.6816045194402
"DNAH9","Excitatory_neuron",0.0415883879024702,0.391292657857546,0.915356541120855,0.999784705755525,73.6854860270045
"BLTP2","Excitatory_neuron",0.136550753716271,0.403407935337578,0.734991717249696,0.999784705755525,97.4093656811699
"GAS7","Excitatory_neuron",0.110630514733874,0.305435664955335,0.717198379314697,0.999784705755525,290.355179676007
